ID,RunningName,Version,Age,Gender,SessionGroup,Condition,TrialIndex,IsPractice,Domain,PromptId,Prompt,Action,Time,ArticleSlug,ArticleTitle,FromArticleSlug,ArticleWordCount,NavigationType,SearchQuery,AnswerText,AnswerLength,FinalAnswerText,FinalAnswerLength,PastedText,PastedTextLength,Rating,InterestRating,Trigger,ArticleRevid,WikipediaUrl
11,Wikipedia_Exp_14.04,Wikipedia_Exp_13.04,34,Female,sg_1776173775880_mniv2f,diffuse,0,1.0,practice,practice-capybaras,What do Capybaras eat?,attention_check_pass,2026-04-14T13:37:36.118Z,,,,,,,,,,,,,,,attempt_1,,
11,Wikipedia_Exp_14.04,Wikipedia_Exp_13.04,34,Female,sg_1776173775880_mniv2f,diffuse,0,1.0,practice,practice-capybaras,What do Capybaras eat?,familiarity_rating,2026-04-14T13:37:50.103Z,,,,,,,,,,,,,2.0,6.0,,,
11,Wikipedia_Exp_14.04,Wikipedia_Exp_13.04,34,Female,sg_1776173775880_mniv2f,diffuse,0,1.0,practice,practice-capybaras,What do Capybaras eat?,task_start,2026-04-14T13:37:50.237Z,,,,,,,,,,,,,,,,,
11,Wikipedia_Exp_14.04,Wikipedia_Exp_13.04,34,Female,sg_1776173775880_mniv2f,diffuse,0,1.0,practice,practice-capybaras,What do Capybaras eat?,article_open,2026-04-14T13:37:50.464Z,Capybara,Capybara,,4650.0,,,,,,,,,,,,1346474151,https://en.wikipedia.org/wiki/Capybara?oldid=1346474151
11,Wikipedia_Exp_14.04,Wikipedia_Exp_13.04,34,Female,sg_1776173775880_mniv2f,diffuse,0,1.0,practice,practice-capybaras,What do Capybaras eat?,answer_snapshot,2026-04-14T13:39:58.048Z,,,,,,,Capybaras ,10.0,,,,,,,debounce,,
11,Wikipedia_Exp_14.04,Wikipedia_Exp_13.04,34,Female,sg_1776173775880_mniv2f,diffuse,0,1.0,practice,practice-capybaras,What do Capybaras eat?,answer_snapshot,2026-04-14T13:40:01.446Z,,,,,,,Capybaras eat,13.0,,,,,,,debounce,,
11,Wikipedia_Exp_14.04,Wikipedia_Exp_13.04,34,Female,sg_1776173775880_mniv2f,diffuse,0,1.0,practice,practice-capybaras,What do Capybaras eat?,answer_snapshot,2026-04-14T13:40:12.313Z,,,,,,,Capybaras eat grasses and aquatic plants.,41.0,,,,,,,debounce,,
11,Wikipedia_Exp_14.04,Wikipedia_Exp_13.04,34,Female,sg_1776173775880_mniv2f,diffuse,0,1.0,practice,practice-capybaras,What do Capybaras eat?,answer_snapshot,2026-04-14T13:40:28.752Z,,,,,,,"Capybaras eat grasses, aquatic plants",37.0,,,,,,,debounce,,
11,Wikipedia_Exp_14.04,Wikipedia_Exp_13.04,34,Female,sg_1776173775880_mniv2f,diffuse,0,1.0,practice,practice-capybaras,What do Capybaras eat?,answer_snapshot,2026-04-14T13:40:34.354Z,,,,,,,"Capybaras eat grasses, aquatic plants ",38.0,,,,,,,debounce,,
11,Wikipedia_Exp_14.04,Wikipedia_Exp_13.04,34,Female,sg_1776173775880_mniv2f,diffuse,0,1.0,practice,practice-capybaras,What do Capybaras eat?,answer_snapshot,2026-04-14T13:40:37.501Z,,,,,,,"Capybaras eat grasses, aquatic plants and",41.0,,,,,,,debounce,,
