ID,RunningName,Version,Age,Gender,SessionGroup,Condition,TrialIndex,IsPractice,Domain,PromptId,Prompt,Action,Time,ArticleSlug,ArticleTitle,FromArticleSlug,ArticleWordCount,NavigationType,SearchQuery,AnswerText,AnswerLength,FinalAnswerText,FinalAnswerLength,PastedText,PastedTextLength,Rating,InterestRating,Trigger
1,Wikipedia_Exp_14.04,Wikipedia_Exp_13.04,49,Male,sg_1776172371177_3voub3,diffuse,0,1,practice,practice-capybaras,What do Capybaras eat?,attention_check_pass,2026-04-14T13:14:44.386Z,,,,,,,,,,,,,,,attempt_1
1,Wikipedia_Exp_14.04,Wikipedia_Exp_13.04,49,Male,sg_1776172371177_3voub3,diffuse,0,1,practice,practice-capybaras,What do Capybaras eat?,familiarity_rating,2026-04-14T13:15:02.826Z,,,,,,,,,,,,,2,3,
1,Wikipedia_Exp_14.04,Wikipedia_Exp_13.04,49,Male,sg_1776172371177_3voub3,diffuse,0,1,practice,practice-capybaras,What do Capybaras eat?,task_start,2026-04-14T13:15:02.975Z,,,,,,,,,,,,,,,
1,Wikipedia_Exp_14.04,Wikipedia_Exp_13.04,49,Male,sg_1776172371177_3voub3,diffuse,0,1,practice,practice-capybaras,What do Capybaras eat?,article_open,2026-04-14T13:15:03.415Z,Capybara,Capybara,,4650,,,,,,,,,,,
1,Wikipedia_Exp_14.04,Wikipedia_Exp_13.04,49,Male,sg_1776172371177_3voub3,diffuse,0,1,practice,practice-capybaras,What do Capybaras eat?,answer_snapshot,2026-04-14T13:15:59.437Z,,,,,,,,0,,,,,,,debounce
1,Wikipedia_Exp_14.04,Wikipedia_Exp_13.04,49,Male,sg_1776172371177_3voub3,diffuse,0,1,practice,practice-capybaras,What do Capybaras eat?,answer_snapshot,2026-04-14T13:16:08.868Z,,,,,,,So they're herbivores (plant eaters),36,,,,,,,debounce
1,Wikipedia_Exp_14.04,Wikipedia_Exp_13.04,49,Male,sg_1776172371177_3voub3,diffuse,0,1,practice,practice-capybaras,What do Capybaras eat?,answer_snapshot,2026-04-14T13:16:15.669Z,,,,,,,Capybaras herbivores (plant eaters),35,,,,,,,debounce
1,Wikipedia_Exp_14.04,Wikipedia_Exp_13.04,49,Male,sg_1776172371177_3voub3,diffuse,0,1,practice,practice-capybaras,What do Capybaras eat?,answer_snapshot,2026-04-14T13:16:22.883Z,,,,,,,"Capybaras herbivores, meaning they're plant eaters.   ",54,,,,,,,debounce
1,Wikipedia_Exp_14.04,Wikipedia_Exp_13.04,49,Male,sg_1776172371177_3voub3,diffuse,0,1,practice,practice-capybaras,What do Capybaras eat?,answer_snapshot,2026-04-14T13:16:37.474Z,,,,,,,"Capybaras herbivores, meaning they're plant eaters.   They feed mainly on grasses and aquatic plants, as wel las fruit and tree bark.",133,,,,,,,debounce
1,Wikipedia_Exp_14.04,Wikipedia_Exp_13.04,49,Male,sg_1776172371177_3voub3,diffuse,0,1,practice,practice-capybaras,What do Capybaras eat?,answer_snapshot,2026-04-14T13:16:41.948Z,,,,,,,"Capybaras herbivores, meaning they're plant eaters.   They feed mainly on grasses and aquatic plants, as well as fruit and tree bark.",133,,,,,,,debounce
1,Wikipedia_Exp_14.04,Wikipedia_Exp_13.04,49,Male,sg_1776172371177_3voub3,diffuse,0,1,practice,practice-capybaras,What do Capybaras eat?,answer_snapshot,2026-04-14T13:16:48.691Z,,,,,,,"Capybaras herbivores, meaning they're plant eaters.  From Wikipedia, they feed mainly on grasses and aquatic plants, as well as fruit and tree bark.",148,,,,,,,debounce
1,Wikipedia_Exp_14.04,Wikipedia_Exp_13.04,49,Male,sg_1776172371177_3voub3,diffuse,0,1,practice,practice-capybaras,What do Capybaras eat?,answer_snapshot,2026-04-14T13:16:57.900Z,,,,,,,"Capybaras herbivores, meaning they're plant eaters.  From Wikipedia, they feed mainly on grasses and aquatic plants, as well as fruit and tree bark. ",149,,,,,,,debounce
1,Wikipedia_Exp_14.04,Wikipedia_Exp_13.04,49,Male,sg_1776172371177_3voub3,diffuse,0,1,practice,practice-capybaras,What do Capybaras eat?,answer_snapshot,2026-04-14T13:17:05.100Z,,,,,,,"Capybaras herbivores, meaning they're plant eaters.  From Wikipedia, they feed mainly on grasses and aquatic plants, as well as fruit and tree bark. When feeding, they focus on one plant a",188,,,,,,,debounce
1,Wikipedia_Exp_14.04,Wikipedia_Exp_13.04,49,Male,sg_1776172371177_3voub3,diffuse,0,1,practice,practice-capybaras,What do Capybaras eat?,answer_snapshot,2026-04-14T13:17:10.548Z,,,,,,,"Capybaras herbivores, meaning they're plant eaters.  From Wikipedia, they feed mainly on grasses and aquatic plants, as well as fruit and tree bark. When feeding, they ",168,,,,,,,debounce
1,Wikipedia_Exp_14.04,Wikipedia_Exp_13.04,49,Male,sg_1776172371177_3voub3,diffuse,0,1,practice,practice-capybaras,What do Capybaras eat?,answer_snapshot,2026-04-14T13:17:42.900Z,,,,,,,"Capybaras herbivores, meaning they're plant eaters.  From Wikipedia, they feed mainly on grasses and aquatic plants, as well as fruit and tree bark. When feeding, they seem to be selective, focusing on one type of species at a time.  ",234,,,,,,,debounce
